"did;query;name;duplicate_ids;aas_spec;qualifier;category;datatype;unit;metalabel"
"261;maximum head of a pump during operation that can be achieved without destroying the pump;Max head;25;Property;SUP;Constant;REAL_MEASURE;Meter;41"
"262;This characteristic describes the maximum permissible head of a pump which can deliver it continuously.;Maximum permitted head;25;Property;SUP;Constant;REAL_MEASURE;Meter;41"
"263;the maximum permissible head of a pump;Greatest head permitted;25;Property;SUP;Constant;REAL_MEASURE;Meter;41"
"264;the maximum allowable head a pump can deliver without damage;Greatest allowed head;25;Property;SUP;Constant;REAL_MEASURE;Meter;41"
"265;the maximum  head of a pump that can deliver it during operation;Greatest head allowed while operation;25;Property;SUP;Constant;REAL_MEASURE;Meter;41"
"266;maximum permissible head for which the device is approved;Maximum permitted head;25;Property;SUP;Constant;REAL_MEASURE;Meter;41"
"267;highest head the pump can deliver without being destroyed;Highest head allowed;25;Property;SUP;Constant;REAL_MEASURE;Meter;41"
"268;maximum permissible head of a pump ;Maximum permitted head;25;Property;SUP;Constant;REAL_MEASURE;Meter;41"
"269;maximum head that a pump can provide continuously;Greatest head permitted;25;Property;SUP;Constant;REAL_MEASURE;Meter;41"
"270;Speed corresponding to the rated data of the motor used,;Nominal speed;26;Property;SUP;Constant;REAL_MEASURE;1/s;40"
"271;nominal speed of a rotational ac asynchronous or dc motor at the rated input voltage and rated torque;Nominal speed;26;Property;SUP;Constant;REAL_MEASURE;1/s;40"
"272;Speed of a motor at rated voltage and rated torque;Nominal speed;26;Property;SUP;Constant;REAL_MEASURE;1/s;40"
"273;this feature describes the rated speed of a motor;Nominal speed;26;Property;SUP;Constant;REAL_MEASURE;1/s;40"
"274;rated speed of a motor at rated voltage;Nominal speed;26;Property;SUP;Constant;REAL_MEASURE;1/s;40"
"275;the rated speed of a motor;Nominal speed;26;Property;SUP;Constant;REAL_MEASURE;1/s;40"
"276;the rated speed of a motor at rated current ;Nominal speed;26;Property;SUP;Constant;REAL_MEASURE;1/s;40"
"277;nominal speed of the motor;Nominal speed;26;Property;SUP;Constant;REAL_MEASURE;1/s;40"
"278;nominal speed of a drive ;Nominal speed;26;Property;SUP;Constant;REAL_MEASURE;1/s;40"
"279;nominal speed of a motor under operating conditions;Nominal speed;26;Property;SUP;Constant;REAL_MEASURE;1/s;40"
"280;rated speed of a motor ;Nominal speed;26;Property;SUP;Constant;REAL_MEASURE;1/s;40"
"281;the rated speed of a motor at rated current ;Nominal speed;26;Property;SUP;Constant;REAL_MEASURE;1/s;40"
"282;Nominal speed of the motor during operation;Nominal speed;26;Property;SUP;Constant;REAL_MEASURE;1/s;40"
"283;Highest value of the pump power input at any rate of flow at any allowable operating condition;Maximum power consumption;27;Property;SUP;Constant;REAL_MEASURE;kW;43"
"284;maximum pump power consumption;Highest power input;27;Property;SUP;Constant;REAL_MEASURE;kW;43"
"285;This feature describes the maximum power consumption of a pump.;Max power consumption;27;Property;SUP;Constant;REAL_MEASURE;kW;43"
"286;maximum power consumption that a pump can have during operation;Greatest power consumption ;27;Property;SUP;Constant;REAL_MEASURE;kW;43"
"287;maximum power consumption of the pump during operation;Maximum power consumption;27;Property;SUP;Constant;REAL_MEASURE;kW;43"
"288;maximum power consumption of the pump at any flow rate;Highest power input;27;Property;SUP;Constant;REAL_MEASURE;kW;43"
"289;power that can be absorbed by a pump during operation;Max power consumption;27;Property;SUP;Constant;REAL;kW;43"
"290;maximum power that a pump can take up during operation;Greatest power consumption ;27;Property;SUP;Constant;REAL;kW;43"
"291;Maximum power consumption of a pump during operation;Maximum power consumption;27;Property;SUP;Constant;REAL;W;43"
"292;maximum power a pump can take up;Highest power input;27;Property;SUP;Constant;REAL;W;43"
"293;Indication of the rated power consumption in watts;Rated power consumption;28;Property;SUP;Constant;REAL;Watt;43"
"294;total electrical input true power of the drive engine drawn from the mains power supply during the considered time under set working conditions and with denomination of the power output;Nominal power;28;Property;SUP;Constant;REAL;Watt;43"
"295;describes the nominal power consumption;Power consumption;28;Property;SUP;Constant;REAL;Watt;43"
"296;power requirement of the device or component during defined operating conditions;Rated power consumption;28;Property;SUP;Constant;REAL;Watt;43"
"297;total electric initial effective power that is absorbed off the supply grid during the concerning time (including the power absorption for additional devices) under set operating conditions and at the nominal value of the initial power;Nominal power;28;Property;SUP;Constant;REAL_MEASURE;Watt;43"
"298;electrical energy per time unit that an operating unit requires as connected load from the power supply;Power consumption;28;Property;SUP;Constant;REAL_MEASURE;Watt;43"
"299;guaranteed power consumption of an electric/ electronic or electromechanical component.;Rated power consumption;28;Property;SUP;Constant;REAL_MEASURE;Watt;43"
"300;power being consumed by or dissipated within an electric component as a variable;Nominal power;28;Property;SUP;Constant;REAL_MEASURE;Watt;43"
"301;power that is typically taken from the auxiliary power supply when the device is operating normally;Power consumption;28;Property;SUP;Constant;REAL_MEASURE;Watt;43"
"302;power consumption of the motor;Rated power consumption;28;Property;SUP;Constant;REAL_MEASURE;Watt;43"
"303;Rated power consumption of the motor;Nominal power;28;Property;SUP;Constant;REAL_MEASURE;Watt;43"
"304;This feature describes the rated power consumption of the motor.;Power consumption;28;Property;SUP;Constant;REAL_MEASURE;Watt;43"
"305;nominal voltage is the specified value which shows the voltage in normal operation given by the manufacturer or supplier;Rated voltage;29;Property;SUP;Constant;REAL_MEASURE;Volt;38"
"306;describes the nominal voltage U;Rated voltage;29;Property;SUP;Constant;REAL_MEASURE;V;38"
"307;nominal voltage of a lamp or fuse;Rated voltage;29;Property;SUP;Constant;REAL_MEASURE;V;38"
"308;voltage specified by the manufacturer for a particular operating condition of an accessory which is used for reference purposes;Rated voltage;29;Property;SUP;Constant;REAL_MEASURE;V;38"
"309;The voltage that a device is designed to handle;Rated voltage;29;Property;SUP;Constant;REAL;V;38"
"310;this characteristic describes the rated voltage during operation;Rated voltage;29;Property;SUP;Constant;REAL_MEASURE;V;38"
"311;nominal voltage under normal operating conditions specified by the manufacturer;Rated voltage;29;Property;SUP;Constant;REAL_MEASURE;Volt;38"
"312;rated voltage of a motor;Rated voltage;29;Property;SUP;Constant;REAL_MEASURE;Volt;38"
"313;the rated voltage of a motor;Rated voltage;29;Property;SUP;Constant;REAL_MEASURE;Volt;38"
"314;this characteristic describes the nominal voltage of a motor.;Rated voltage;29;Property;SUP;Constant;REAL_MEASURE;Volt;38"
"315;Highest value of outlet pressure at which the pump or component is capable of functioning on the basis of the materials used;maximum permissible outlet pressure;30;Property;SUP;Constant;REAL;Pa;44"
"316;maximum outlet pressure for which the pump is suitable;maximum permissible discharge pressure;30;Property;SUP;Constant;REAL_MEASURE;Pa;44"
"317;this feature describes the highest discharge pressure that the pump can continuously provide without breaking down;highest permissible outlet pressure;30;Property;SUP;Constant;REAL_MEASURE;Pa;44"
"318;maximum permissible outlet pressure of the pump;highest permissible discharge pressure;30;Property;SUP;Constant;REAL_MEASURE;Pa;44"
"319;highest pressure the pump can continuously process at the outlet;maximum allowable outlet pressure;30;Property;SUP;Constant;REAL_MEASURE;N/m²;44"
"320;maximum outlet pressure that the pump can withstand permanently without suffering damage;maximum allowable discharge pressure;30;Property;SUP;Constant;REAL_MEASURE;N/m²;44"
"321;highest pressure at the outlet for which the pump is approved;highest allowable outlet pressure;30;Property;SUP;Constant;REAL_MEASURE;N/m²;44"
"322;the maximum allowable outlet pressure is the highest pressure the pump can deliver at the outlet ;highest allowable discharge pressure;30;Property;SUP;Constant;REAL_MEASURE;N/m²;44"
"323;maximum permissible pressure at pump outlet;highest permissible outlet pressure;30;Property;SUP;Constant;REAL_MEASURE;N/m²;44"
"324;maximum pressure at the outlet of the pump at which the pump is still functional ;highest permissible discharge pressure;30;Property;SUP;Constant;REAL_MEASURE;N/m²;44"
"325;maximum permissible pressure at the outlet of a pump;maximum allowable outlet pressure;30;Property;SUP;Constant;REAL_MEASURE;N/m²;44"
"326;maximum pressure allowed at the outlet of a pump ;maximum allowable discharge pressure;30;Property;SUP;Constant;REAL_MEASURE;N/m²;44"
"327;Lowest value of outlet pressure at which the pump or component is capable of functioning on the basis of the materials used;minimum permissible outlet pressure;31;Property;SUP;Constant;REAL_MEASURE;Pascal;44"
"328;minimum outlet pressure for which the pump is suitable;minimum permissible discharge pressure;31;Property;SUP;Constant;REAL_MEASURE;Pascal;44"
"329;this feature describes the lowest discharge pressure that the pump can continuously provide without breaking down;smallest permissible outlet pressure;31;Property;SUP;Constant;REAL_MEASURE;Pascal;44"
"330;minimum permissible outlet pressure of the pump;smallest permissible discharge pressure;31;Property;SUP;Constant;REAL_MEASURE;Pascal;44"
"331;lowest pressure the pump can continuously process at the outlet;minimum allowable outlet pressure;31;Property;SUP;Constant;REAL_MEASURE;Pascal;44"
"332;minimum outlet pressure that the pump can withstand permanently without suffering damage;minimum allowable discharge pressure;31;Property;SUP;Constant;REAL_MEASURE;Pascal;44"
"333;lowest pressure at the outlet for which the pump is approved;smallest allowable outlet pressure;31;Property;;Constant;REAL_MEASURE;Pascal;44"
"334;the minimum allowable outlet pressure is the lowest pressure the pump can deliver at the outlet ;smallest allowable discharge pressure;31;Property;SUP;Constant;REAL_MEASURE;Pascal;44"
"335;minimum permissible pressure at pump outlet;smallest permissible outlet pressure;31;Property;SUP;Constant;REAL_MEASURE;Pascal;44"
"336;minimum pressure at the outlet of the pump at which the pump is still functional ;smallest permissible discharge pressure;31;Property;SUP;Constant;REAL_MEASURE;N/m²;44"
"337;minimum permissible pressure at the outlet of a pump;minimum allowable outlet pressure;31;Property;SUP;Constant;REAL_MEASURE;N/m²;44"
"338;minimum pressure allowed at the outlet of a pump ;minimum allowable discharge pressure;31;Property;SUP;Constant;REAL_MEASURE;N/m²;44"
"339;Hoisting height for the feed flow Q  0;zero head;32;Property;SUP;Constant;REAL_MEASURE;Meter;41"
"340;The shut off head of a pump indicates the amount of pressure required to reach a condition where the flow rate in a vertical pipe connected to the operating pump becomes zero;zero discharge head;32;Property;SUP;Constant;REAL_MEASURE;Meter;41"
"341;The maximum head shut off head is achieved at a flow rate of zero;zero delivery head;32;Property;SUP;Constant;REAL_MEASURE;Meter;41"
"342;With a given diameter impeller and rotating at some given rpm this centrifugal pump would throw the liquid straight up to some maximum height We will call this maximum height the shut off head of the pump;zero head;32;Property;SUP;Constant;REAL_MEASURE;Meter;41"
"343;Shut off head is the head a pump will develop when operating against a closed discharge valve;zero discharge head;32;Property;SUP;Constant;REAL_MEASURE;Meter;41"
"344;In the performance curve for a centrifugal pump the shut-off head is the point on the graph where the flow rate is zero;zero delivery head;32;Property;SUP;Constant;REAL_MEASURE;Meter;41"
"345;The Shut-off Head is the head liquid surface elevation for a centrifugal pump that runs with discharge valve closed;zero head;32;Property;SUP;Constant;REAL_MEASURE;Meter;41"
"346;zero delivery head of a pump if no flow is available ;zero discharge head;32;Property;SUP;Constant;REAL_MEASURE;Meter;41"
"347;This feature describes the zero head of a pump;zero delivery head;32;Property;SUP;Constant;REAL_MEASURE;Meter;41"
"348;zero delivery head of a pump at no flow rate;zero head;32;Property;SUP;Constant;REAL_MEASURE;Meter;41"
"349;shut-off head of the pump when working against a closed valve;zero discharge head;32;Property;SUP;Constant;REAL_MEASURE;Meter;41"
"350;Highest speed for continuous operation recommended by the manufacturer;maximum permissible continuous speed ;33;Property;SUP;Constant;REAL_MEASURE;1/s;40"
"351;highest rotational speed of the power-input rotor at which the machine as built and tested is capable of continuous operation with the specified fluid at any of the specified operating conditions;highest continuous speed allowed;33;Property;SUP;Constant;REAL_MEASURE;1/s;40"
"352;maximum permissible speed specified by the manufacturer of the abrasive product;max speed allowed for continuous operation;33;Property;SUP;Constant;REAL_MEASURE;1/s;40"
"353;highest speed at which the manufacturer's design permits continuous operation;maximum allowed ongoing speed ;33;Property;SUP;Constant;REAL_MEASURE;1/s;40"
"354;highest rotational speed (revolutions per minute) at which the machine as-built and tested is capable of continuous operation;maximum permissible continuous speed ;33;Property;SUP;Constant;REAL_MEASURE;s^(-1);40"
"355;highest speed at which the manufacturer permits continuous operation;highest continuous speed allowed;33;Property;SUP;Constant;REAL_MEASURE;s^(-1);40"
"356;maximum permissible speed during operation at which the device can be operated;max speed allowed for continuous operation;33;Property;SUP;Constant;REAL_MEASURE;s^(-1);40"
"357;This characteristic describes the maximum permissible continuous speed.;maximum allowed ongoing speed ;33;Property;SUP;Constant;REAL;s^(-1);40"
"358;maximum permissible continuous speed;maximum permissible continuous speed ;33;Property;SUP;Constant;REAL;s^(-1);40"
"359;maximum continuous speed at which the machine may be operated;highest continuous speed allowed;33;Property;SUP;Constant;REAL;s^(-1);40"
"360;maximum speed at which the component may be operated during operation;max speed allowed for continuous operation;33;Property;SUP;Constant;REAL;s^(-1);40"
"361;highest speed for which the component is permitted during operation;maximum allowed ongoing speed ;33;Property;SUP;Constant;REAL;s^(-1);40"
"362;lowest speed for continuous operation recommended by the manufacturer;minimum allowed ongoing speed ;34;Property;SUP;Constant;REAL;s^(-1);40"
"363;lowest operating speed at which the manufacturer's design permits continuous operation;minimum permissible continuous speed ;34;Property;SUP;Constant;REAL;s^(-1);40"
"364;lowest speed of the power input rotor at which the manufacturer's design permits continuous operation for the lowest rated conditions;smallest continuous speed allowed;34;Property;SUP;Constant;REAL;s^(-1);40"
"365;lowest rotational speed of the power-input rotor at which the manufacturer's design permits continuous operation;min speed allowed for continuous operation;34;Property;SUP;Constant;REAL;s^(-1);40"
"366;lowest speed (revolutions per minute) at which the manufacturer’s design shall permit continuous operation;minimum allowed ongoing speed ;34;Property;SUP;Constant;REAL;s^(-1);40"
"367;minimum speed at which continuous operation is permitted;minimum permissible continuous speed ;34;Property;SUP;Constant;REAL;s^(-1);40"
"368;lowest continuous speed at which the manufacturer allows the machine to operate;smallest continuous speed allowed;34;Property;SUP;Constant;REAL;s^(-1);40"
"369;This characteristic describes the lowest speed at which the machine can be operated continuously.;min speed allowed for continuous operation;34;Property;SUP;Constant;REAL;s^(-1);40"
"370;minimum permissible continous speed;minimum allowed ongoing speed ;34;Property;SUP;Constant;REAL;s^(-1);40"
"371;minimum speed that may be permanently maintained during operation;smallest speed allowed continuously;34;Property;SUP;Constant;REAL;s^(-1);40"
"372;minimum speed at which the machine is approved for continuous operation;minimum allowed ongoing speed ;34;Property;SUP;Constant;REAL_MEASURE;s^(-1);40"
"373;Minimum permissible head at which the pump can be operated without suffering damage;Minimum allowable head of the pump;35;Property;SUP;Constant;REAL_MEASURE;Meter;41"
"374;smallest total energy height at the outlet side of the pump aggregate to the total energy height of the admission side of the pump aggregate at operating point;smallest allowable head;35;Property;SUP;Constant;REAL_MEASURE;Meter;41"
"375;lowest permissible head;smallest head allowed;35;Property;SUP;Constant;REAL_MEASURE;Meter;41"
"376;this feature describes the smallest head that a pump can permanently deliver during operation.;min head;35;Property;SUP;Constant;REAL_MEASURE;Meter;41"
"377;smallest head that the pump can provide in operation without damage;minimum permitted head;35;Property;SUP;Constant;REAL_MEASURE;Meter;41"
"378;minimum permissible head of the pump;smallest head permitted;35;Property;SUP;Constant;REAL_MEASURE;Meter;41"
"379;head which the pump can deliver minimally without breaking down;smallest allowed head;35;Property;SUP;Constant;REAL_MEASURE;Meter;41"
"380;smallest head at which the pump may be operated permanently;smallest head allowed while operation;35;Property;SUP;Constant;REAL_MEASURE;Meter;41"
"381;delivery head of a pump that can deliver it at a minimum without suffering any damage;minimum permitted head;35;Property;SUP;Constant;REAL;dm;41"
"382;minimum permissible head of a pump;smallest head allowed;35;Property;SUP;Constant;REAL;mm;41"
"383;Pump power input at zero rate of flow;shot-off power consumption;36;Property;SUP;Constant;REAL_MEASURE;W;43"
"384;power consumption at flow = 0 and speed guaranteed;zero power input;36;Property;SUP;Constant;REAL_MEASURE;W;43"
"385;The pump power input at zero rate of flow.;zero power consumption;36;Property;SUP;Constant;REAL_MEASURE;W;43"
"386;shut-off pump power input;zero power consumption ;36;Property;SUP;Constant;REAL_MEASURE;W;43"
"387;power consumption of the pump when no flow is being pumped;zero power consumption;36;Property;SUP;Constant;REAL_MEASURE;W;43"
"388;Zero power consumption which is present when no volume flow is being conveyed.;zero power input;36;Property;SUP;Constant;REAL_MEASURE;W;43"
"389;this feature describes the power consumption of a pump when no flow needs to be provided.;shut-off power consumption;36;Property;SUP;Constant;REAL_MEASURE;W;43"
"390;zero power consumption of a pump;zero power consumption ;36;Property;SUP;Constant;REAL_MEASURE;W;43"
"391;Power consumption at no flow rate;zero power consumption;36;Property;SUP;Constant;REAL_MEASURE;W;43"
"392;Ten times the logarithm to the base 10 of the ratio of the square of the sound pressure p to the square of a reference value p0 expressed in decibels;acoustic pressure level;37;Property;SUP;Constant;REAL;dB;37"
"393;logarithmical measure of the pressure of a sound wave relative to a reference level;acoustic pressure level;37;Property;SUP;Constant;REAL;dB(A);37"
"394;Sound pressure level uses a logarithmic scale to represent the sound pressure of a sound relative to a reference pressure.;acoustic pressure level;37;Property;SUP;Constant;REAL;dB(A);37"
"395;logarithm of the ratio of a given sound pressure to the reference sound pressure in decibels is 20 times the logarithm to the base ten of the ratio.;acoustic pressure level;37;Property;SUP;Constant;REAL;dB(A);37"
"396;Sound pressure level is actually a ratio of the absolute Sound Pressure and a reference level (usually the Threshold of Hearing or the lowest intensity sound that can be heard by most people).;acoustic pressure level;37;Property;SUP;Constant;REAL;dB(A);37"
"397;Sound pressure level (SPL) or acoustic pressure level is a logarithmic measure of the effective pressure of a sound relative to a reference value.;acoustic pressure level;37;Property;SUP;Constant;REAL;dB(A);37"
"398;The sound pressure level of a sound in decibels is 20 times the logarithm to the base 10 of the ratio of the measured effective sound pressure of this sound to a reference effective sound pressure.;acoustic pressure level;37;Property;SUP;Constant;REAL;dB(A);37"
"399;calculation in dB as a ratio of the measured sound pressure to a reference sound pressure which for SPL is 20 uPa;acoustic pressure level;37;Property;SUP;Constant;REAL;dB(A);37"
"400;ten times the logarithm to the base 10 of the ratio of the square of the sound pressure to the square of the reference sound pressure;acoustic pressure level;37;Property;SUP;Constant;REAL;dB(A);37"
"401;Ten times the logarithm to the base 10 of the ratio of the sound power of a source P to a reference value P0 expressed in decibels;acoustic power level;38;Property;SUP;Constant;REAL;dB(A);37"
"402;ten times the logarithm to the base 10 of the ratio of the sound power radiated by the sound source under test to a reference sound power expressed in decibels (dB);acoustic power level;38;Property;SUP;Constant;REAL;dB(A);37"
"403;ten times the logarithm to the base 10 of the ratio of the sound power radiated by a sound source to the reference sound power (P0 = 10?12 W);acoustic power level;38;Property;SUP;Constant;REAL;dB(A);37"
"404;ten times the logarithm to the base 10 of the ratio of the sound power of a source W to a reference value W0 expressed in decibels;acoustic power level;38;Property;SUP;Constant;REAL;dB(A);37"
"405;Ten times the logarithm to the base 10 of the ratio of the sound power radiated by the source under test to the reference sound power. It is expressed in decibels.;acoustic power level;38;Property;SUP;Constant;REAL;dB(A);37"
"406;Logarithmic measure of the sound power generated by a source as determined using the method given in this part of ISO 9614;acoustic power level;38;Property;SUP;Constant;REAL;dB(A);37"
"407;Ten times the logarithm to the base 10 of the ratio of a given sound power to the reference sound power in decibels.;acoustic power level;38;Property;SUP;Constant;REAL;dB;37"
"408;Ten times the common logarithm of the ratio of sound energy to the reference sound energy of 1 pW·s expressed in decibels.;acoustic energy level;39;Property;SUP;Constant;REAL;dB;37"
"409;ten times the logarithm to the base 10 of the ratio of the sound energy J to a reference value J0 expressed in decibels;acoustic energy level;39;Property;SUP;Constant;REAL;dB;37"
"410;Sound Energy Level is the logarithmic ratio of the sound energy to the reference sound energy.;acoustic energy level;39;Property;SUP;Constant;REAL;dB;37"
"411;Lowest speed for continuous operation  recommended by the manufacturer;minimum permissible continuous speed ;34;Property;SUP;Constant;REAL_MEASURE;s^(-1);40"
"412;Logarithm of the ratio of a given sound pressure to a reference sound pressure. The sound pressure level in decibels is the same as the 20-fold logarithm of this ratio;acoustic pressure level;37;Property;SUP;Constant;REAL;dB;37"
"413;Ten times the logarithm to the base 10 of the ratio of the sound energy J to a reference value J0 expressed in decibels;acoustic energy level;39;Property;SUP;Constant;REAL_MEASURE;dB;37"
"414;Sound pressure level is actually a ratio of the absolute Sound Pressure and a reference level (usually the Threshold of Hearing or the lowest intensity sound that can be heard by most people).;acoustic pressure level;37;Property;SUP;Constant;REAL_MEASURE;dB;37"
"415;Sound pressure level (SPL) or acoustic pressure level is a logarithmic measure of the effective pressure of a sound relative to a reference value.;acoustic pressure level;37;Property;SUP;Constant;REAL_MEASURE;dB;37"
"416;ten times the logarithm to the base 10 of the ratio of the sound power radiated by a sound source to the reference sound power (P0 = 10?12 W);acoustic power level;38;Property;SUP;Constant;REAL_MEASURE;dB;37"
"417;ten times the logarithm to the base 10 of the ratio of the sound power of a source W to a reference value W0 expressed in decibels;acoustic power level;38;Property;SUP;Constant;REAL_MEASURE;dB;37"
"418;ten times the logarithm to the base 10 of the ratio of the sound energy J to a reference value J0 expressed in decibels;acoustic energy level;39;Property;SUP;Constant;REAL_MEASURE;dB;37"
"419;Sound Energy Level is the logarithmic ratio of the sound energy to the reference sound energy.;acoustic energy level;39;Property;SUP;Constant;REAL_MEASURE;dB;37"
"420;smallest delivery head that a pump can deliver without breaking down;smallest head allowed;35;Property;SUP;Constant;REAL;mm;41"
"421;lowest permissible head of a pump;smallest head allowed;35;Property;SUP;Constant;REAL;mm;41"
"422;zero power consumption of a pump at zero flow rate;shot-off power consumption;36;Property;SUP;Constant;REAL_MEASURE;W;43"
"423;power consumption of a pump at no flow rate;zero power input;36;Property;SUP;Constant;REAL_MEASURE;W;43"
"424;Name of the manufacturer of a device;Manufacturer;9;Property;SUP;Constant;STRING;;50"
"425;Product designation under which the device is marketed;Name of product;7;Property;SUP;Constant;STRING;;50"
"426;Date when an item was manufactured;Date of manufacture;15;Property;SUP;Constant;STRING;;50"
"427;group of related goods produced by the same company under the same brand. ;product family;40;Property;SUP;Constant;STRING;;50"
"428;division of a company which is responsible for the product;division;41;Property;SUP;Constant;STRING;;50"
"429;depatment of the manufacturer which produced the product;section;41;Property;SUP;Constant;STRING;;50"
"430;name of the street where the company is located;street name;42;Property;SUP;Constant;STRING;;50"
"431;street name and house number ;name of the street;42;Property;SUP;Constant;STRING;;50"
"432;postal code of the company;postal code;43;Property;SUP;Constant;STRING;;50"
"433;zip code of the company;zip code;43;Property;SUP;Constant;STRING;;50"
"434;additional post box number;p.o. box;44;Property;SUP;Constant;STRING;;50"
"435;postbox number;postbox;44;Property;SUP;Constant;STRING;;50"
"436;zip code of the postbox;postbox zip code;45;Property;SUP;Constant;STRING;;50"
"437;zip code of the p.o. box;zip code p.o. box;45;Property;SUP;Constant;STRING;;50"
"438;city where the company is located;city;46;Property;SUP;Constant;STRING;;50"
"439;town of the company;town;46;Property;SUP;Constant;STRING;;50"
"440;country where the company is located;country ;47;Property;SUP;Constant;STRING;;50"
"441;state of the company;state;47;Property;SUP;Constant;STRING;;50"
"442;national code of a country;national code;48;Property;SUP;Constant;STRING;;50"
"443;vat identification number of the company;vat identification number ;49;Property;SUP;Constant;STRING;;50"
"444;vat id number of the company;vat id number ;49;Property;SUP;Constant;STRING;;50"
"445;sales tax identification number of the company;sales tax identification number ;49;Property;SUP;Constant;STRING;;50"
"446;additional information about the adress;adressing notes;50;Property;SUP;Constant;STRING;;50"
"447;additional text about the adress;adressing instructions;50;Property;SUP;Constant;STRING;;50"
"448;link to the website of the company;website ;51;Property;SUP;Constant;URI;;51"
"449;website link of the company;website link;51;Property;SUP;Constant;URI;;51"
"450;phone number of the company;phone number;52;Property;SUP;Constant;STRING;;50"
"451;telephone number of the company;telephone number ;52;Property;SUP;Constant;STRING;;50"
"452;type of the telephone for example mobile;telephone type;53;Property;SUP;Constant;STRING;;50"
"453;phone type of the associated number;phone type;53;Property;SUP;Constant;STRING;;50"
"454;fax number of the company;fax;54;Property;SUP;Constant;STRING;;50"
"455;fax number of the company;fax number;54;Property;SUP;Constant;STRING;;50"
"456;e-mail adress of the company;e-mail;56;Property;SUP;Constant;STRING;;50"
"457;email adress of the contact;email;56;Property;SUP;Constant;STRING;;50"
"458;type of the email adress;type of email;58;Property;SUP;Constant;STRING;;50"
"459;type of the email adress;email type;58;Property;SUP;Constant;STRING;;50"
"460;name of the marking;marking;60;Property;SUP;Constant;STRING;;50"
"461;picture of the marking;marking label;61;File;SUP;;;;2"
"462;additional information about the marking;marking extra information;62;Property;SUP;Constant;STRING;;50"
"463;Publicly accessible attestation of conformity, commonly available on websites;conformity declaration;63;Property;SUP;Constant;STRING;;50"
"464;guideline for determining conformity;declaration of conformity ;63;Property;SUP;Constant;STRING;;50"
"465;the type of the pump;type of pump;64;Property;SUP;Constant;STRING;;50"
"466;highest temperature allowed for the component under specified operating conditions;max temperature ;65;Property;SUP;Constant;REAL_MEASURE;K;46"
"467;highest temperature allowed for the equipment by the manufacturer;maximum permissible temperature;65;Property;SUP;Constant;REAL_MEASURE;K;46"
"468;lowest temperature allowed for the component under specified operating conditions;min temperature;66;Property;SUP;Constant;REAL_MEASURE;K;46"
"469;lowest temperature allowed for the equipment by the manufacturer;minimum permissible tempeature;66;Property;SUP;Constant;REAL_MEASURE;K;46"
"470;shaft is rotating in clockwise direction;clockwise direction;67;Property;SUP;Constant;BOOLEAN;;48"
"471;determines that the shaft is rotating clockwise;clockwise direction;67;Property;SUP;Constant;BOOLEAN;;48"
"472;shaft is rotating in counterclockwise direction;counterclowise direction ;68;Property;SUP;Constant;BOOLEAN;;48"
"473;determines that the shaft is rotating counter clockwise;counter clockwise direction;68;Property;SUP;Constant;BOOLEAN;;48"
"474;Overspeed is a condition in which an engine is allowed or forced to turn beyond its design limit.;over speed;69;Property;SUP;Constant;REAL_MEASURE;s^(-1);40"
"475;Critical speed (nk) is the rotational speed at which acting dynamic forces cause a machine component (e. g. shaft, rotor) to vibrate at its natural frequency (also referred to as intrinsic frequency, fi) and can even result in resonant vibrations throughout the entire machine and pump set;crit. Speed;70;Property;SUP;Constant;REAL_MEASURE;s^(-1);40"
"476;In solid mechanics, in the field of rotordynamics, the critical speed is the theoretical angular velocity that excites the natural frequency of a rotating object, such as a shaft, propeller, leadscrew, or gear. ;crit. speed;70;Property;SUP;Constant;REAL_MEASURE;s^(-1);40"
"477;rotor critical speed calculated assuming that there are no liquid effects, that the rotor is supported only at its bearings and that the bearings are of infinite stiffness;dry crit. Speed;71;Property;SUP;Constant;REAL_MEASURE;s^(-1);40"
"478;rotor critical speed calculated considering the additional support and damping produced by the action of the pumped liquid within internal running clearances at the operating conditions and allowing for stiffness and damping within the bearings;wet crit. Speed;72;Property;SUP;Constant;REAL_MEASURE;1/s;40"
"479;index relating flow, total head and rotational speed for pumps of similar geometry;specific speed;73;Property;SUP;Constant;REAL_MEASURE;1/s;40"
"480;Parameter relating the rotational speed, the flowrate and the NPSHR, determined at the best efficiency point.;suction specific speed;74;Property;SUP;Constant;REAL_MEASURE;1/s;40"
"481;The specific speed (ns) is a characteristic coefficient derived from the similarity conditions which allows a comparison of impellers of various pump sizes even when their operating data differ (flow rate and head at best efficiency point, rotational speed);specific speed;73;Property;SUP;Constant;REAL_MEASURE;1/s;40"
"482;Suction specific speed nss as defined in EN 12723 is used to classify the suction characteristics of centrifugal pumps. It is derived from the similarity conditions for cavitation and calculated on the same formal basis as the specific speed ns.;suction specific speed;74;Property;SUP;Constant;REAL_MEASURE;s^(-1);40"
"483;highest pressure, excluding pressures encountered during hydrostatic testing, to which the seal (or seals) can be subjected while the pump is shut down;max static sealing pressure;75;Property;SUP;Constant;REAL_MEASURE;N/m²;44"
"484;highest pressure, excluding pressures encountered during hydrostatic testing, to which the seals can be subjected while the pump is shut down;max static sealing pressure;75;Property;SUP;Constant;REAL_MEASURE;Pascal;44"
"485;maximum pressure allowed at which the casing can operate;highest casing pressure allowed;76;Property;SUP;Constant;REAL_MEASURE;Pascal;44"
